TWEETS,CLASS
"Damn, now that I think about it🤔🤔CP3 looking a little better than some of
them cats.....#PointGodCP3'",0
The whole restaurant staff at this point',0
"""NOW, HE'S JUST ANOTHER RAPIST WHO GOT OUT ON A LEGAL SNAFU.📍HE'S
 STILL, A SUBHUMAN POS,COWARD🖕ENJOY, YOUR FREEDOM RAPIST/CRIMINAL📍 
USA TODAY: Bill Cosby released from prison after sex assault conviction overturned by
 Pa. Supreme Court.\nhttp\n\nvia @user""",0
"The point about Starmer is that he has some power and abuses it in undemocratic ways
.\nIf he gains more power, my instinct is that he would simply carry on like that.\nSo why give 
a man like that more power?\nAs bad as any of Johnson’s crew.'",0
THEY LOOK SO GOOD WTF',0
 'he know even if i’m fckn wit him ion really need him.,0
" 'don’t you suck his dick or something ? ur fucking ass as well u think ur good or sum ? ur a stiff can on a pc and thought a pc would help u that shit made u even worse quit the game',",1
" 'Hey bro you just called @user and every other dem pushing the legalization of marijuana a racist lmao good job, true they should be pushing for those alleged offenders to be out of jail but guess who is the real racist in this country',",1
" 'Looks primed to be #wrecked by a stupid bint',",1
" 'i feel like such an old person bc my body aches all over everytime i have to stand up i have to think about whether or not its worth it fbskskskkd',",0
"@userLeader @user #moderndaykkkchristianpoliticians \n#bigots #EndTheFilibusterNow \n#Hypocrite #pussygrabbersupporters \n@user You all are disgusting and disturbing ""christians"" utterly gross 🤢 old white men who claim JESUS\' Nasty disgustin white men!!! @user',",1
"""If you consider Greek to be white sure but he's definitely not a black man in ashes lol"",",1
" 'This pic make me want a blow out so bad 🥺 but it’s too hot for that shit 🥺🥺',",0
" 'are you drunk',",1
"""It's a truly messsed up world. Unfortunately, while everyone is making money from it &amp; all from her estate it will go on and on #FreeBritneyNOW"",",0
" 'Sancho will flop',",1
" '“Sometimes Donghae comes in when I’m watching movie. He will look at me &amp; say: A pervert indeed.” -Heechul',",
" 'They always dodge the questions being asked 🤡',",1
" 'I mean I can see why they fucking hate her look at her! Look at how she acts! Nasty…',",1
" 'What if instead of playing golf all day and drinking, Democratic leadership did their goddamned jobs?',",1
"Here we go.\n\nhttp',",0
" 'I like how you think🤣👏🏾',",0
